,subj_idx,SESSION,RUN,TRIAL,X73KID,ISOLD,ISCORRECT,rt,CHANGEMIND,MEMORYRECENT,MEMORYFIRST,ISOLDCURRENT,ISCORRECTCURRENT,TOTAL1,TOTAL2,response,MISSINGDATA,trial_full,is_shared1000,is_special100,shared1000_repNum,recall_condition,MTL_ROI_Beta,Beta_ERC,Beta_BA35,Beta_BA36,Beta_SUB,Beta_CA1,Beta_CA2,Beta_CA3,Beta_DG,Beta_PHC,Beta_HT,result
32863,2,8,1,53,41779,1,1,1.13536379700054,0,54.0,,0,0,0,1,1,0,5303,1,0,2,hard,0.0370578026965692,-0.28859649122807,0.179346405228758,0.256940170940171,-0.397436823104693,-0.219761904761905,-0.480666666666667,-0.164285714285714,-0.36922514619883,0.921537558685446,-0.413310023310023,HIT
32920,2,8,2,51,13614,1,1,1.57148558199879,0,2694.0,,0,0,0,1,1,0,5364,1,1,2,hard,0.472233346682686,0.415253411306043,0.502941176470588,0.767568376068376,0.0359927797833935,0.0679120879120879,0.384444444444444,1.15492063492063,0.0286695906432748,0.923403755868544,-0.0667132867132867,HIT
32998,2,8,4,10,71242,1,1,1.12961066699972,0,622.0,,0,0,0,1,1,0,5448,1,0,2,hard,0.641174743024963,0.0610428849902533,1.2031862745098,0.620700854700855,0.316883273164862,0.197985347985348,0.397333333333333,0.84515873015873,0.542850877192982,1.89827464788732,0.156596736596737,HIT
33011,2,8,4,24,42564,1,1,1.13508200599972,0,626.0,,0,0,0,1,1,0,5462,1,0,2,hard,-0.100997196635963,-0.145126705653021,-0.0904575163398692,-0.12167094017094,-0.306678700361011,-0.287106227106227,-0.25,0.133492063492063,-0.305950292397661,0.438673708920188,-0.0606993006993007,HIT
33020,2,8,4,33,36732,1,1,1.52341885199894,0,338.0,,0,0,0,1,1,0,5471,1,0,2,hard,0.161874249098919,-0.0416374269005848,0.138709150326797,0.460354700854701,0.0946811070998796,0.190018315018315,-0.205555555555555,-0.325634920634921,-0.211593567251462,0.2825,-0.314475524475524,HIT
33031,2,8,4,44,64097,1,1,1.8408520869998,0,392.0,,0,0,0,1,1,0,5482,1,0,2,hard,0.544112935522627,0.0969005847953216,0.905016339869281,0.721957264957265,0.0860890493381468,0.180384615384615,-0.426444444444444,0.0207142857142857,0.0098976608187134,1.95387323943662,-0.213613053613054,HIT
33077,2,8,5,28,13139,1,1,0.621292289000848,0,297.0,4699.0,0,0,0,1,1,0,5528,1,1,3,hard,0.601025230276331,0.617826510721248,0.653545751633987,0.83282905982906,0.31251504211793,0.0839560439560439,-0.538444444444444,-0.0794444444444444,0.237646198830409,1.02268779342723,0.49981351981352,HIT
33129,2,8,6,18,30848,1,0,-0.720159581000189,0,4583.0,,0,1,1,0,0,0,5581,1,0,2,hard,-0.0555012681884928,-0.0876120857699805,-0.0583333333333333,0.159294871794872,-0.396702767749699,-0.18496336996337,-0.265111111111111,-0.134523809523809,-0.168713450292398,0.0963380281690141,-0.396433566433566,MISS
33167,2,8,6,57,55650,1,0,-0.60764829999971,0,819.0,851.0,0,1,1,0,0,0,5620,1,0,3,hard,0.319122947537044,-0.064551656920078,0.672042483660131,0.886388888888889,-0.323285198555957,-0.27554945054945,-0.266,0.49531746031746,-0.369736842105263,0.709495305164319,-0.027016317016317,MISS
33175,2,8,7,4,22516,1,0,-0.75257135299762,0,4548.0,4720.0,0,1,1,0,0,0,5629,1,0,3,hard,0.577350153517554,0.265721247563353,0.934313725490196,0.283068376068376,0.33086642599278,0.127106227106227,0.582,0.716190476190476,0.419283625730994,2.51009389671361,-0.158624708624709,MISS
